time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448150000	20.1064	12.6111	4.79223	1.62739	0.523033	radar	2.16115	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.1229	12.83	4.76841	1.64336	0.515662	lidar	1.03973	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.1513	13.0256	4.71505	1.65539	0.508384	radar	2.9918	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.1397	13.2436	4.69526	1.67686	0.505827	lidar	0.0695289	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.0999	13.4778	4.70289	1.70236	0.502115	radar	0.464776	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.0782	13.7174	4.70975	1.72452	0.499658	lidar	0.631029	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.0386	13.9275	4.67259	1.75715	0.51692	radar	0.828709	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	19.9927	14.1713	4.68997	1.78323	0.516697	lidar	0.311076	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	19.9191	14.3981	4.69131	1.81542	0.522726	radar	0.51934	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.8422	14.6483	4.72237	1.84622	0.525598	lidar	0.1552	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8002	14.8291	4.66938	1.86015	0.510137	radar	2.09071	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.7489	15.0523	4.66514	1.88095	0.506637	lidar	0.682991	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6181	15.2704	4.63908	1.96208	0.603722	radar	9.675	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.56	15.4671	4.60983	1.98396	0.598035	lidar	0.951857	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.4948	15.6482	4.56823	2.00408	0.587915	radar	1.00079	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.3938	15.8673	4.58397	2.03347	0.587485	lidar	0.19101	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.303	16.0681	4.57921	2.04681	0.558828	radar	0.990231	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.1994	16.2674	4.57472	2.07385	0.558267	lidar	0.0111008	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.0967	16.458	4.56008	2.10398	0.566067	radar	0.453258	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.9689	16.672	4.58569	2.13312	0.566002	lidar	0.21271	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8024	16.8984	4.64056	2.19842	0.632735	radar	8.443	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6395	17.1199	4.69157	2.23256	0.633196	lidar	0.533337	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5738	17.303	4.63331	2.21243	0.550262	radar	5.19911	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3936	17.514	4.68442	2.24592	0.553184	lidar	0.658872	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2688	17.6936	4.66714	2.25342	0.517853	radar	1.30762	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.1183	17.8856	4.68101	2.27807	0.516544	lidar	0.240416	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.955	18.0198	4.64641	2.32458	0.552359	radar	1.83298	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
